A!simid!rcvr!cycle!nmhigh!nmhighcycle!nmlow!nmlowcycle!prop!switchhigh!switchlow!settlehigh!settlelow!maxvoltage!maxvoltagecycle!minvoltage!minvoltagecycle!monotonichigh!monotoniclow!glitchrise!glitchfall!steadystate!crosstalk!ssn!ssntimestep!ssnframes!peakemission!peakfrequency!emistatus!setuphigh!setupdataslewhigh!setupclkslewhigh!setupdervalhigh!setuphighcycle!setuplow!setupdataslewlow!setupclkslewlow!setupdervallow!setuplowcycle!holdhigh!holddataslewhigh!holdclkslewhigh!holddervalhigh!holdhighcycle!holdlow!holddataslewlow!holdclkslewlow!holddervallow!holdlowcycle!SNR
S!sim1!ibis_sim_0 IO2 1!3!1.28314!0!0.762709!0!0!1.36034e-009!1.74515e-009!1.80753e-009!2.08186e-009!3.32415!0!-0.0727748!0!1!1!1!1!!!!!0!!!0!!!!!0!!!!!0!!!!!0!!!!!0!!
S!sim1!ibis_sim_0 IO3 1!3!1.25972!0!0.660688!0!1e-010!1.46461e-009!1.77909e-009!1.75312e-009!2.04463e-009!3.36072!0!-0.263258!0!1!1!1!1!!!!!0!!!0!!!!!0!!!!!0!!!!!0!!!!!0!!
S!sim1!iibis_sim_0 IO3 1!3!1.25972!0!0.660688!0!1e-010!1.46461e-009!1.77909e-009!1.75312e-009!2.04463e-009!3.36072!0!-0.263258!0!1!1!1!1!!!!!0!!!0!!!!!0!!!!!0!!!!!0!!!!!0!!
